MSA NAME,TOTAL POP IN MSA,TOTAL CO2 IN MSA,TOTAL LAND IN MSA,POP DENSITY,CO2/CAPITA
"Decatur, AL MSA",145867,0.71982592558,1275.596,114.3520362246,4.93480996787372E-006
"Decatur, IL MSA",114706,0.54650972742,580.5226,197.5909292765,4.7644388908957E-006
"Des Moines, IA MSA",456022,1.44891891199,1727.455,263.9848794903,3.17730046354238E-006
"Dothan, AL MSA",137916,0.49907013064,1141.433,120.8270656272,3.61865288033942E-006
"Dover, DE MSA",126697,0.53956870009,589.7213,214.8421635779,4.25873304092928E-006
"Dubuque, IA MSA",89143,0.40496969448,608.1564,146.5790707785,4.54292198472577E-006
"Duluth--Superior, MN--WI MSA",391476,2.31498952042,7534.298,51.9591871731,5.91349027889292E-006
"Eau Claire, WI MSA",148337,0.54568829333,1648.07,90.0064924427,3.67870654880658E-006
"El Paso, TX MSA",679622,1.61657537421,1013.106,670.8301007002,2.37863897020823E-006
"Elkhart--Goshen, IN MSA",182791,0.84320213524,463.8136,394.1044419569,4.61293026044711E-006
"Elmira, NY MSA",91070,0.25285362564,408.1699,223.117873219,2.77647552041083E-006
"Enid, OK MSA",57813,0.36210433165,1058.391,54.6234803584,6.26337210752848E-006
"Erie, PA MSA",280843,0.82170835330,801.9478,350.2010978769,2.92586375055689E-006
"Eugene--Springfield, OR MSA",322959,0.75125163968,4554.004,70.9175925186,2.32615173961845E-006
"Evansville--Henderson, IN--KY MSA",296195,5.73882390921,1467.271,201.8679575893,1.93751545745406E-005
"Fargo--Moorhead, ND--MN MSA",174367,0.68918860204,2810.472,62.0418918957,3.95251740318147E-006
"Fayetteville, NC MSA",302963,0.63985955783,652.7164,464.1571745401,0.000002112
"Fayetteville--Springdale--Rogers, AR MSA",311121,2.01518244502,1795.711,173.2578349189,6.47716626333746E-006
"Flagstaff, AZ--UT MSA",122366,5.67058785845,22609.38,5.4121784852,4.63412047337192E-005
"Florence, AL MSA",142950,2.15237198908,1263.993,113.093980742,1.50568169925154E-005
"Florence, SC MSA",125761,3.13155855372,799.8419,157.2323230378,2.49008719214811E-005
"Fort Collins--Loveland, CO MSA",251494,1.24623536728,2601.301,96.6800843117,4.95532842646098E-006
"Fort Myers--Cape Coral, FL MSA",440888,1.82377991562,803.6304,548.6203608027,4.1366059307953E-006
"Fort Pierce--Port St. Lucie, FL MSA",319426,3.28184588500,1128.061,283.1637650801,1.02741977328057E-005
"Fort Smith, AR--OK MSA",207290,0.79895683579,1805.452,114.8133542182,3.85429512175878E-006
"Fort Walton Beach, FL MSA",170498,0.53087317723,935.6262,182.2287575957,3.11366219678417E-006
"Fort Wayne, IN MSA",502141,1.94027419401,2447.559,205.1599164719,0.000003864
"Fresno, CA MSA",922516,2.10623908211,8098.587,113.9107352925,2.28314639757551E-006
"Gadsden, AL MSA",103459,0.42251991925,534.8224,193.4455250939,4.08393585137539E-006
"Gainesville, FL MSA",217955,1.14796584860,874.2452,249.3064874706,0.000005267
"Glens Falls, NY MSA",77026,0.53409583774,1704.729,45.1837212836,0.000006934
"Goldsboro, NC MSA",113329,0.84410046174,552.5692,205.094674115,7.44823003595031E-006
"Grand Forks, ND--MN MSA",97478,0.62215717008,3408.177,28.6012140801,6.38253934299429E-006
"Grand Junction, CO MSA",116255,0.47212748321,3327.746,34.9350581445,4.06113701098972E-006
"Grand Rapids--Muskegon--Holland, MI MSA",1088514,6.77525198559,2758.41,394.6164638324,6.2243131329422E-006
"Great Falls, MT MSA",80357,0.24675564090,2697.904,29.7849738167,3.07074232359798E-006
"Green Bay, WI MSA",226778,1.87785023805,528.6754,428.9550828353,8.28056618387839E-006
"Greensboro--Winston-Salem--High Point, NC MSA",1251509,7.39170497749,3881.094,322.4629447264,5.90623397633568E-006
"Greenville, NC MSA",133798,0.27260176002,651.5767,205.3449732012,2.03741281645067E-006
"Greenville--Spartanburg--Anderson, SC MSA",962441,3.54633389992,3208.608,299.9559310455,3.68472862224753E-006
"Harrisburg--Lebanon--Carlisle, PA MSA",629401,2.10019158895,1990.829,316.1502067732,3.33681006060449E-006
"Hattiesburg, MS MSA",111674,0.98936971203,963.6439,115.8872068821,8.85944545757472E-006
"Hickory--Morganton--Lenoir, NC MSA",296630,3.96868244428,1638.476,181.0401861242,1.337923488615E-005
"Honolulu, HI MSA",876156,2.89483222284,599.7664,1460.8287493264,0.000003304
"Houma, LA MSA",194477,1.10724734269,2339.61,83.123683007,5.69346165708562E-006
"Huntington--Ashland, WV--KY--OH MSA",315538,1.89553346112,2159.217,146.1353814832,6.00730644523234E-006
"Huntsville, AL MSA",342376,0.94468650989,1372.972,249.3685231745,2.75920774204925E-006
"Indianapolis, IN MSA",1607486,6.36956288471,3522.993,456.284187905,3.96243754826482E-006
"Iowa City, IA MSA",111006,0.33478483838,614.4792,180.6505411412,3.01591660249453E-006
"Jackson, MI MSA",11268,0.50398659536,706.5975,15.9468438538,4.47272448849528E-005
"Jackson, MS MSA",377927,1.40042879017,2360.812,160.0834797519,3.70555369203672E-006
"Jackson, TN MSA",28480,0.40648439544,845.5182,33.6834854649,1.42726262445299E-005
"Jacksonville, FL MSA",1100491,7.01367403071,2635.336,417.5903945455,6.37322252585907E-006
"Jacksonville, NC MSA",150355,0.24884483278,766.8181,196.0764880224,0.000001655
"Jamestown, NY MSA",139750,1.40285880217,1062.048,131.5853897376,1.00383456327267E-005
"Janesville--Beloit, WI MSA",152307,0.56059324027,720.4685,211.3999432314,3.68067941902953E-006
"Johnson City--Kingsport--Bristol, TN--VA MSA",986967,2.62272139893,2865.509,344.4299075662,2.65735470277353E-006
"Johnstown, PA MSA",232621,0.67670894735,1762.682,131.9699185673,2.90906215409365E-006
"Jonesboro, AR MSA",82148,0.26323845786,710.8396,115.5647490658,3.20444146983097E-006
"Joplin, MO MSA",157322,1.05752478614,1266.15,124.2522607906,0.000006722
"Kalamazoo--Battle Creek, MI MSA",452851,1.58258468108,1881.44,240.6938302577,3.49471389281796E-006
"Kansas City, MO--KS MSA",1137480,9.71504059549,5406.212,210.4024037533,8.54084519770546E-006
"Killeen--Temple, TX MSA",312952,0.62957498326,2111.484,148.2142417371,2.01173017989249E-006
"Knoxville, TN MSA",692244,3.79086533087,2449.265,282.633361437,5.47619817704821E-006
"Kokomo, IN MSA",101541,0.38643804965,553.452,183.4684850719,3.80573413354656E-006
"La Crosse, WI--MN MSA",126838,0.39705688692,1011.146,125.4398474602,3.13042532140499E-006
"Lafayette, IN MSA",182821,0.90178949661,904.8874,202.0372921537,4.93263627597057E-006
"Lafayette, LA MSA",233888,1.89593206010,2593.62,90.1782065222,8.10615362951206E-006
"Lake Charles, LA MSA",183577,5.84848534672,1071.117,171.3883730722,3.18584863393371E-005
"Lakeland--Winter Haven, FL MSA",483924,3.62132167148,1874.381,258.1780331747,7.48324462412245E-006
"Lancaster, PA MSA",470658,1.54464397548,949.0609,495.9197033615,3.28188190891053E-006
"Lansing--East Lansing, MI MSA",447728,2.29697895401,1707.056,262.2807921943,5.1302999901868E-006
"Laredo, TX MSA",193117,0.40731915075,3356.833,57.5295226185,2.10918329689954E-006
"Las Cruces, NM MSA",174682,0.63415848864,3807.184,45.8822058508,3.63035967439698E-006
"Las Vegas, NV--AZ MSA",1563282,7.89269922418,39368.64,39.7088139189,5.04880067971396E-006
"Lawrence, KS MSA",99962,1.53944271529,456.8705,218.7972302874,1.54002792590594E-005
"Lawton, OK MSA",114996,0.53083335910,1069.345,107.5387269777,4.61610281312723E-006
"Lexington, KY MSA",479198,2.10709643924,1919.471,249.6510757391,4.39713112167135E-006
"Lima, OH MSA",72051,0.60374317014,805.679,89.4289164791,8.3793864087866E-006
"Lincoln, NE MSA",250291,1.44575954368,838.8808,298.3630093811,5.77631454460023E-006
"Little Rock--North Little Rock, AR MSA",583845,1.86801080581,2907.621,200.7981783045,3.19949782187096E-006
"Longview--Marshall, TX MSA",208780,3.31605292054,1760.379,118.5994606843,0.000015883
"Louisville, KY--IN MSA",1025598,7.82594875264,2071.994,494.9811630729,7.6306201383361E-006
"Lubbock, TX MSA",242628,0.99883055501,899.4935,269.7384694831,4.11671593968911E-006
"Lynchburg, VA MSA",246198,1.03142794373,1790.438,137.5071351256,4.18942454337983E-006
"Macon, GA MSA",322549,1.14872536226,1531.807,210.567649841,3.56139799616361E-006
"Madison, WI MSA",426526,1.51018289113,1201.895,354.8779219483,3.54065846192653E-006
"Mansfield, OH MSA",367643,0.47022815589,898.9903,408.9510198275,0.000001279
"McAllen--Edinburg--Mission, TX MSA",569463,1.43839836483,1569.746,362.773977446,2.52588555328512E-006
"Medford--Ashland, OR MSA",2930,0.41136712439,2785.193,1.0519917291,0.0001403983
"Melbourne--Titusville--Palm Bay, FL MSA",476230,2.26511897544,1018.189,467.7225937424,4.75635507095645E-006
"Memphis, TN--AR--MS MSA",1135614,4.39080661845,3006.428,377.7286534053,3.86646045086507E-006
"Merced, CA MSA",210554,0.72729824376,1928.695,109.1691532357,3.4542124289375E-006
"Minneapolis--St. Paul, MN--WI MSA",2830653,24.21173764841,6063.069,466.868016841,8.55341069654424E-006
"Missoula, MT MSA",95802,0.30981425529,2597.967,36.8757570824,3.23390174833579E-006
"Mobile, AL MSA",540258,5.85065617190,2829.438,190.9418054045,1.08293744320278E-005
"Modesto, CA MSA",446997,0.98737229454,1493.791,299.2366401993,2.20890138981223E-006
"Monroe, LA MSA",147250,4.11947872068,610.5285,241.1844819693,2.79760863883086E-005
"Montgomery, AL MSA",333055,0.97563196653,2006.987,165.9477614952,2.92934190006582E-006
"Muncie, IN MSA",118769,0.37633694327,393.2918,301.9869725227,3.16864622312092E-006
"Myrtle Beach, SC MSA",196629,0.92843006397,1133.682,173.442817298,4.72173516606675E-006
"Naples, FL MSA",251377,0.66462165691,2025.341,124.1158896206,2.64392389481955E-006
"Nashville, TN MSA",1231311,6.02726630353,4072.731,302.3305492064,0.000004895
"New Orleans, LA MSA",687308,10.67271357904,3399.493,202.179560305,1.55282836501778E-005
"Norfolk--Virginia Beach--Newport News, VA--NC MSA",3241306,6.62918558665,2348.486,1380.1683297239,2.04522053352916E-006
"Ocala, FL MSA",258916,0.75498302955,1578.858,163.9894151342,2.91593810172541E-006
"Odessa--Midland, TX MSA",237132,1.51906722222,1801.307,131.6444115301,0.000006406
"Oklahoma City, OK MSA",1083346,4.27358133774,4246.738,255.1007384962,3.94479818796523E-006
"Omaha, NE--IA MSA",759260,4.87640713397,2475.43,306.7184287174,6.42257873979008E-006
"Orlando, FL MSA",1441845,6.03895717253,3490.707,413.0524274882,4.1883539302306E-006
"Owensboro, KY MSA",91545,1.00686126736,462.3889,197.9826937887,1.09985391595202E-005
"Panama City, FL MSA",148217,1.16266028932,763.6781,194.0830829115,7.84431130922481E-006
"Parkersburg--Marietta, WV--OH MSA",136982,3.11165763705,1002.438,136.6488501034,2.27158140269955E-005
"Pensacola, FL MSA",412153,4.30103872045,1679.279,245.4344989725,1.04355390363631E-005
"Peoria--Pekin, IL MSA",347387,4.51384022281,1796.333,193.3867495615,1.29936935544784E-005
"Phoenix--Mesa, AZ MSA",3251876,8.44151644423,14572.73,223.1480306024,2.59589124684613E-006
"Pine Bluff, AR MSA",84278,5.01144457094,884.8153,95.2492571048,5.94632593433435E-005
"Pittsburgh, PA MSA",2279344,12.73167638238,4625.63,492.7640126858,5.58567569545285E-006
"Pocatello, ID MSA",75565,1.77843939979,1113.298,67.8749086049,2.35352266233113E-005
"Provo--Orem, UT MSA",368536,0.84990839031,1998.332,184.4218077877,2.30617467577817E-006
"Pueblo, CO MSA",141472,1.86438693476,2388.687,59.2258424817,1.31784871547862E-005
"Punta Gorda, FL MSA",141627,0.35363341783,693.6038,204.1900577823,2.49693503235236E-006
"Raleigh--Durham--Chapel Hill, NC MSA",1187941,3.62896349453,3488.81,340.5003425237,3.0548347893759E-006
"Rapid City, SD MSA",88565,0.43953301076,2776.146,31.9021405935,4.96282968175493E-006
"Reading, PA MSA",373638,1.70872116549,858.8801,435.0292898857,4.57319963572033E-006
"Redding, CA MSA",163256,0.59772654547,3785.195,43.1301425686,3.66128378415499E-006
"Reno, NV MSA",339486,1.03145101162,6342.272,53.5275056005,3.03827259920981E-006
"Richland--Kennewick--Pasco, WA MSA",163738,0.48847159033,2945.493,55.5893359787,2.9832512326644E-006
"Richmond--Petersburg, VA MSA",921151,6.02473782127,2944.468,312.8412331192,6.540445400672E-006
"Roanoke, VA MSA",275470,0.99587966278,850.9956,323.7032012856,3.615201883259E-006
"Rochester, MN MSA",124277,0.78967492411,653.0104,190.3139674345,6.35415180694862E-006
"Rochester, NY MSA",1107793,3.43820949869,3425.522,323.3939236122,3.10365699971512E-006
"Rockford, IL MSA",371236,1.32882554289,1553.835,238.9159724166,3.57946304478242E-006
"Rocky Mount, NC MSA",143026,0.38227391652,1045.295,136.8283594583,2.67275821543881E-006
"Saginaw--Bay City--Midland, MI MSA",403070,3.30214584553,1774.371,227.1621887418,8.19248727400724E-006
"Salinas, CA MSA",401762,5.42492985103,3321.953,120.941506397,1.35028445971312E-005
"Salt Lake City--Ogden, UT MSA",1333914,4.13505867199,1617.395,824.7298897301,3.09994397838715E-006
"San Angelo, TX MSA",104010,0.37554090961,1522.097,68.3333585179,3.61062310944793E-006
"San Antonio, TX MSA",1592383,7.42594815203,3326.397,478.7110498236,4.66341838114752E-006
"San Diego, CA MSA",2813833,7.44614168400,4199.891,669.9776256098,2.64626283222985E-006
"San Luis Obispo--Atascadero--Paso Robles, CA MSA",246681,0.80469723933,3304.321,74.6540665995,3.26209655111486E-006
"Santa Barbara--Santa Maria--Lompoc, CA MSA",399347,1.30036222677,2737.011,145.9062459011,3.25622134828706E-006
"Santa Fe, NM MSA",147635,0.53677083432,2018.535,73.1396780338,3.63579662219864E-006
"Sarasota--Bradenton, FL MSA",589959,2.67383483051,1312.578,449.4658603146,4.53223839370697E-006
"Savannah, GA MSA",293000,1.86604299275,1359.239,215.5617959755,6.36874741553305E-006
"Scranton--Wilkes-Barre--Hazleton, PA MSA",624776,1.83448672984,2232.188,279.893987424,2.93623111297672E-006
"Sharon, PA MSA",120293,0.39955417323,671.816,179.0564678424,3.32150809467553E-006
"Sheboygan, WI MSA",112646,1.75864355208,513.6304,219.3133428239,1.56121260592967E-005
"Sherman--Denison, TX MSA",110595,0.31817381623,933.5124,118.4719131744,2.87692767507861E-006
"Shreveport--Bossier City, LA MSA",138754,1.81794714622,2316.468,59.8989496078,1.31019440608903E-005
"Sioux City, IA--NE MSA",124130,3.11486226592,1136.391,109.231769699,2.50935492300364E-005
"Sioux Falls, SD MSA",179621,0.62231094870,1387.761,129.4322293248,3.46457790960693E-006
"South Bend, IN MSA",265559,0.76334949936,457.3406,580.6591411303,2.87450057937463E-006
"Spokane, WA MSA",417939,0.98778319290,1763.636,236.9757705105,2.36346259358772E-006
"Springfield, IL MSA",201437,1.30627673876,1182.43,170.3584990232,6.48479047422399E-006
"Springfield, MO MSA",298737,1.83431296705,1831.45,163.115018155,6.14022691214198E-006
"St. Cloud, MN MSA",167392,0.88593674407,1752.793,95.5001531841,5.29258712525066E-006
"St. Joseph, MO MSA",102490,0.51146962346,844.9135,121.3023581704,4.99043441758698E-006
"St. Louis, MO--IL MSA",2011978,19.72128245146,6392.069,314.7616210025,9.80193742250827E-006
"State College, PA MSA",135758,0.44320822446,1107.533,122.5769345022,3.26469323695735E-006
"Steubenville--Weirton, OH--WV MSA",64932,6.72296137778,581.2772,111.7057403937,0.0001035385
"Stockton--Lodi, CA MSA",563598,1.52650580143,1399.282,402.7765668393,2.70850109728549E-006
"Sumter, SC MSA",104646,0.28583548759,665.4079,157.2659416878,2.73145163304637E-006
"Syracuse, NY MSA",682311,2.11357379190,3082.636,221.3401128125,3.09766923279395E-006
"Tallahassee, FL MSA",284539,0.89599944609,1182.872,240.5492732942,0.000003149
"Tampa--St. Petersburg--Clearwater, FL MSA",2395997,11.73124734509,2553.982,938.1416940292,4.89618615761614E-006
"Terre Haute, IN MSA",149192,3.85002162908,1017.8,146.5828257025,2.58058182012507E-005
"Texarkana, TX--Texarkana, AR MSA",129749,0.47772437291,1511.847,85.8215150078,3.68191179051532E-006
"Toledo, OH MSA",618203,4.12130469436,1364.568,453.0393501826,6.66658798867052E-006
"Topeka, KS MSA",169871,1.05050804873,549.8153,308.9601180615,6.18415179007829E-006
"Tucson, AZ MSA",843746,2.19587911695,9186.265,91.8486457771,2.60253573581572E-006
"Tulsa, OK MSA",803235,6.89290679898,5014.496,160.1825986101,8.58143233172829E-006
"Tuscaloosa, AL MSA",164875,0.66681076400,1324.371,124.4930612344,4.04434125248764E-006
"Tyler, TX MSA",174706,1.02456298022,928.3832,188.1830692326,5.86449795783903E-006
"Utica--Rome, NY MSA",299896,0.81424661929,2623.953,114.2916812915,2.71509663114326E-006
"Victoria, TX MSA",84088,0.44834675463,882.5048,95.2833344363,5.33187559025543E-006
"Visalia--Tulare--Porterville, CA MSA",368021,0.87896373316,4823.968,76.2900997685,2.38835211350119E-006
"Waco, TX MSA",213517,1.09634363495,1041.883,204.9337593569,5.13469014154628E-006
"Waterloo--Cedar Falls, IA MSA",128012,0.41846927779,567.1144,225.7251799637,0.000003269
"Wausau, WI MSA",125834,1.56757272438,1544.962,81.4479579433,1.24574655846237E-005
"West Palm Beach--Boca Raton, FL MSA",1131184,2.76030046350,1974.107,573.0104801817,2.44018697532904E-006
"Wheeling, WV--OH MSA",153172,4.08896593940,950.5208,161.1453426374,2.66952572232697E-005
"Wichita Falls, TX MSA",140518,0.33687931774,1537.362,91.4020250273,2.39741042242716E-006
"Wichita, KS MSA",545220,2.30690825964,2966.559,183.7886925559,4.23115120436065E-006
"Williamsport, PA MSA",120044,0.34658294596,1234.853,97.2131905579,2.88713260102861E-006
"Wilmington, NC MSA",233450,2.10387730683,1053.728,221.5467369188,9.0121109737852E-006
"Yakima, WA MSA",222581,0.42747420087,4296.229,51.8084580687,1.92053320306077E-006
"York, PA MSA",381751,3.31907975679,904.4545,422.0787225891,8.69435772738122E-006
"Youngstown--Warren, OH MSA",594746,2.04089693461,1564.181,380.2283751049,3.43154377601297E-006
"Yuba City, CA MSA",139149,0.93752067101,1233.237,112.8323266331,6.73753078361913E-006
"Yuma, AZ MSA",160026,0.47801370035,5514.089,29.0212943607,2.98710022338104E-006
